ID	popLabel	validGT	missGTAdj	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	pc11	pc12	pc13	pc14	pc15	pc16	pc17	pc18	pc19	pc20
LUN138	LUN138	168595	1.0000	5370.694	4840.290	4816.356	2014.553	-2530.701	1542.107	-1934.416	2911.512	-2687.771	-1824.097	-1714.795	-5012.128	-3068.508	-1145.904	-953.763	-4419.848	135.294	-4241.481	-1994.119	-1713.916
LUN139	LUN139	168595	1.0000	12078.117	2235.723	2400.713	2842.707	6141.646	-634.137	-1740.372	1786.163	3225.030	1198.873	-1740.819	-2519.166	3714.080	1540.057	-3687.011	-488.626	-1777.746	1766.223	-56.769	590.815
LUN140	LUN140	168595	1.0000	11594.553	-2487.365	2937.748	1248.342	5231.680	1645.861	-2087.248	4606.848	-72.475	607.556	3919.166	-796.778	-1654.408	-650.806	-1764.056	-3032.582	508.628	1203.207	1699.934	2501.465
LUN141	LUN141	168595	1.0000	12252.746	1038.874	7665.530	3929.721	4980.699	1494.217	-3485.627	2767.066	2190.298	-1665.402	-2238.180	-770.989	2062.244	3294.236	814.511	-434.677	2819.734	279.642	1407.173	3374.739
LUN142	LUN142	168595	1.0000	-5508.655	5551.743	-547.914	-4567.831	1012.797	-35.524	1015.226	2249.929	-3159.434	1435.984	-5387.069	-1365.713	-3663.239	-1400.180	-2594.319	1320.258	-4264.446	1455.256	-2844.266	2070.307
LUN143	LUN143	168595	1.0000	12972.107	3892.210	4758.035	6813.105	7646.492	-2541.731	-3219.138	2126.710	1745.825	-6043.225	-1010.098	-1753.409	-716.171	1283.447	2530.499	897.510	-951.997	2849.160	-1513.399	-5316.147
LUN144	LUN144	168595	1.0000	11654.069	1240.060	6299.803	2918.854	7.196	6605.924	-512.983	9228.575	662.622	2602.065	302.128	166.980	-1161.583	3564.208	3126.840	-148.878	-914.006	112.781	1643.917	963.776
LUN145	LUN145	168595	1.0000	4958.225	7312.992	882.959	359.077	-13242.637	-208.280	3304.091	2546.189	-2036.044	-1382.127	1087.557	-1946.580	4057.543	2798.175	498.994	4769.923	-517.528	-492.304	-48.760	3211.637
LUN146	LUN146	168595	1.0000	9631.932	4160.680	3565.354	1752.990	-9778.576	-421.684	-683.074	3728.021	4583.715	2617.680	1895.399	-995.049	-1393.261	921.176	-1620.842	2364.207	-220.936	4504.816	-3010.563	-468.415
LUN147	LUN147	168595	1.0000	4463.532	2884.418	3080.516	188.190	-882.011	-727.658	1357.578	1003.507	946.740	167.048	5181.830	169.300	-1121.057	-681.188	-809.769	-2842.998	1531.206	-538.423	-474.880	-449.795
LUN148	LUN148	168595	1.0000	8578.831	2481.868	1962.064	2733.180	3894.499	-1982.494	-1277.680	4748.303	556.526	719.641	4764.935	-2943.420	2495.313	30.765	3562.098	-2645.988	1986.912	-4158.729	1211.238	3448.187
LUN149	LUN149	168595	1.0000	4930.474	5332.082	500.847	-55.078	-2512.796	-4793.803	4.200	1220.216	2165.602	3673.303	-946.264	1157.466	-2367.541	-644.347	1411.759	2527.048	1350.177	1708.863	-367.741	1126.301
LUN150	LUN150	168595	1.0000	-409.546	3341.221	620.944	-896.897	-1425.514	-581.451	1169.648	611.724	-1075.350	820.465	-719.168	4439.416	-1054.587	-848.514	2815.148	763.054	4175.116	-3050.520	6724.310	-3795.974
LUN152	LUN152	168595	1.0000	1573.314	4956.147	2462.679	233.788	-1270.492	-3542.023	-1432.859	-994.265	1868.234	-718.019	-2046.373	2309.751	-1972.262	1516.801	-2101.143	4794.717	3833.249	-351.692	-2699.800	1673.325
LUN153	LUN153	168595	1.0000	9422.998	2534.142	2513.498	3462.722	3967.343	-5970.736	545.112	-4205.398	2746.156	-3694.102	-2436.915	946.181	76.387	-172.642	-1650.997	1156.763	4527.795	-6020.301	-2117.139	242.053
