ID	popLabel	validGT	missGTAdj	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	pc11	pc12	pc13	pc14	pc15	pc16	pc17	pc18	pc19	pc20
Armenian:arm21	Armenian	168552	1.0003	-2075.127	-15930.859	-8516.809	8404.514	-4316.706	1776.419	219.453	2734.464	2765.746	-795.814	-706.534	960.416	2676.927	2848.265	-660.476	2313.094	2207.786	535.117	-1386.802	7521.228
Armenian:arm23	Armenian	168595	1	-41785.16	-13950.454	10953.292	13596.973	-703.124	838.047	148.439	-285.425	-195.796	-4063.129	-425.038	1285.522	1828.56	-5570.831	2094.915	6364.484	-1632.049	-3978.206	-241.598	755.863
Armenian:arm26	Armenian	168585	1.0001	-39763.303	-13966.685	10388.745	13979.766	-658.85	-747.528	6070.051	1526.795	8149.647	-3421.295	-710.505	-3420.745	2145.494	2833.554	-3116.407	5661.44	5116.415	-5314.125	3098.138	-3260.54
Armenian:armenia3	Armenian	168593	1	-38959.179	-14577.438	10728.713	11546.744	-2769.748	-219.276	282.419	4161.042	3885.98	-5757.174	4534.939	1421.206	2451.455	-765.084	-5533.161	-910.335	-4157.909	4094.474	585.286	3581.436
Armenian:armenia7	Armenian	168593	1	-39321.763	-12934.992	10891.501	10009.41	954.262	168.736	3039.937	1909.782	8325.955	-5887.086	-1010.472	-573.171	526.182	4822.925	8441.58	4387.438	-2153.303	-2368.746	2680.374	3812.238
Armenian:armenia36	Armenian	168593	1	-41392.873	-14008.19	9938.665	11182.327	3971.509	-384.905	4766.437	146.423	2598.005	-1440.083	1366.053	-1920.721	2440.235	86.678	-2766.977	-9.437	3257.286	3346.042	1247.666	3454.157
Armenian:armenia71	Armenian	168595	1	-37816.695	-16223.163	13550.791	12296.889	-476.417	-753.072	2805.723	855.93	8073.304	-4355.495	-1675.387	-231.864	4110.893	-4038.994	5532.652	-2758.907	277.243	756.244	-1776.462	2548.866
Armenian:armenia73	Armenian	168589	1.0001	-39158.972	-13176.755	11128.566	11814.239	-2175.159	-299.103	4622.248	3464.302	7030.592	-6590.545	3240.423	1330.861	419.704	-2476.66	-2363.342	-1266.676	1491.516	732.417	-3787.565	3406.236
Armenian:armenia80	Armenian	168592	1	-41114.648	-12921.693	7873.259	9145.796	2682.485	2605.363	2246.534	5477.312	4732.988	-4952.948	2804.708	3725.703	-613.127	-1887.332	-1423.927	-864.652	-6334.544	-156.948	-1208.743	-878.146
Armenian:armenia86	Armenian	168593	1	-39958.116	-14399.707	8970.674	13918.362	-325.171	-2533.442	4314.04	4776.831	4620.692	-6429.648	348.596	-1735.521	1252.871	-779.734	-269.831	8209.705	1761.632	-4629.311	-5295.958	4602.723
Armenian:armenia91	Armenian	168587	1.0001	-41482.845	-14189.152	11244.949	12274.872	3133.941	1880.405	1364.47	2714.953	6319.066	-7233.793	2544.755	2826.329	1570.727	3540.965	2257.277	4435.503	-1460.006	1490.516	2365.362	-3175.368
Armenian:armenia102	Armenian	168594	1	-37821.294	-15924.965	11404.493	12355.169	-2624.863	-918.111	2384.795	1844.69	7255.557	-2130.165	-120.802	665.975	3421.761	783.251	1787.778	1119.215	-1800.752	175.313	3309.826	3743.305
Armenian:armenia106	Armenian	168596	1	-38845.912	-14576.096	11929.262	12665.63	-635.42	-1991.328	2146.827	-1751.09	5799.787	-106.787	3133.423	2026.289	124.339	2783.693	-538.936	248.705	5390.451	-197.942	406.57	-502.572
Armenian:armenia139	Armenian	168593	1	-43547.123	-13631.585	9437.673	9480.324	1246.66	667.777	7037.614	7441.017	6659.629	-6365.949	2501.023	5088.81	2471.819	-6436.004	1579.579	-2099.579	1545.329	12.163	-4409.055	-394.88
Armenian:armenia162	Armenian	168595	1	-41927.54	-12610.917	10506.947	11853.952	-587.437	-119.194	2915.168	1908.355	9060.863	-2624.355	794.86	4688.393	5883.892	76.698	1735.147	-1732.965	1838.248	2521.226	-3513.679	285.981
Armenian:armenia176	Armenian	168596	1	-42115.766	-13607.526	10393.001	11749.541	532.236	-1395.77	5208.18	2771.693	9864.64	-3923.039	-614.896	667.505	2822.121	-1614.813	1546.637	2176.713	3552.009	-3160.807	-2733.437	3019.798
Armenian:armenia191	Armenian	168597	1	-37774.692	-11459.989	9198.516	12637.812	191.386	-302.507	3535.901	-725.674	6426.078	-2259.814	2448.406	-27.288	1633.835	-3798.698	-957.485	-1.261	7292.707	2402.011	1260.171	3022.986
Armenian:armenia279	Armenian	168595	1	-43203.469	-13503.329	8475.667	10496.684	1809.737	-31.827	6336.105	3432.447	11920.557	-4267.787	-458.006	-1034.297	-5452.808	-7091.991	279.889	-11533.583	1803.51	-6276.819	7229.768	4958.9
Armenian:armenia293	Armenian	168586	1.0001	-41396.534	-15146.129	11623.597	11872.754	2041.448	-412.614	4585.802	2725.109	3256.44	-4293.735	2119.761	-6426.401	-1051.6	-1947.445	2162.091	3255.193	-6519.892	2585.199	1709.042	-359.22
Azeri_Dagestan:AZR2_azer_Dagestan	Azeri	168445	1.0009	-27622.73	-20324.302	13519.331	20250.519	-9582.713	-2206.515	-5717.973	966.079	9670.95	12140.23	4389.129	-12948.815	5312.204	-36.456	-2902.314	2102.771	-1720.102	-246.141	-7053.443	-1721.215
Azeri_Dagestan:AZR4_azer_Dagestan	Azeri	168489	1.0007	-30880.635	-19516.86	13275.985	18783.591	-5042.364	-2337.122	25.385	800.818	9405.987	-280.916	3832.172	-3225.554	3967.524	-455.293	-591.67	-4279.758	275.058	107.413	1619.228	-2449.344
Azeri_Dagestan:AZR8_azer_Dagestan	Azeri	168350	1.0015	-28468.83	-20216.624	12035.842	19271.336	-9137.261	-2209.326	-3549.892	-2066.319	9383.714	8248.149	6085.932	-10102.371	1616.621	-4788.93	975.175	-4740.396	-3344.728	-806.386	5112.901	479.28
Azeri_Dagestan:AZR535_azer_Dagestan	Azeri	168481	1.0007	-30370.082	-19630.846	13469.084	15917.838	-6314.008	-1853.677	-4118.204	1946.68	11081.622	3546.286	1954.425	-3149.826	4062.836	3589.23	-2531.374	9469.536	1033.064	-4027.845	-2586.615	-2406.501
Azeri_Dagestan:AZR827_azer_Dagestan	Azeri	168500	1.0006	-22261.273	-20021.417	13476.759	26004.948	-10598.116	-6097.164	-5481.793	-2566.136	8548.904	7353.657	15100.52	-18313.24	4960.529	473.712	-1819.035	-6684.892	-1371.534	-5922.362	507.952	-495.036
Azeri_Iran:azerB8	Azeri	168595	1	-34946.132	-19737.826	12956.205	13026.781	-3772.944	414.991	-6489.933	528.411	7184.223	7064.167	-3439.105	-4609.443	44.7	1227.06	-6910.621	-2722.707	1481.722	6607.666	-5675.891	793.271
Azeri_Iran:azerB38	Azeri	167101	1.009	-34935.698	-20077.033	15542.09	12090.814	-4118.857	-249.54	-1103.069	3317.151	8480.164	7045.504	-860.598	-3317.77	-466.87	1550.768	211.517	-5874.735	3240.278	3710.594	-8860.962	-398.302
Azeri_Iran:azerB59	Azeri	168590	1.0001	-34551.063	-20708.481	14196.466	14686.469	-3294.131	-2302.561	-2553.903	2710.808	8136.992	14258.097	-2192.09	-3449.631	-7806.624	2403.418	-1957.354	-7030.399	1431.601	-4376.125	-5288.504	7573.618
