,Abkhazian,Adyghe,Albanian,Armenian,Azeri,Balkar,Basque_France,Basque_France_inferred,Basque_Spain,Basque_Spain_inferred,Belarusian,Belgian,Bosniak,Bulgarian,Canary_Islander,Chechen,Corsican,Croatian,Cypriot,Czech,Danish,Druze,Dutch,English,Estonian,Finnish,French,Gagauz,Georgian,German,Greek,Hungarian,Icelandic,Ingrian,Irish,Italian,Kabardian,Karelian,Kosovan,Kumyk,Lak_Dagestan,Latvian,Lebanese_Christian,Lezgin,Lithuanian,Macedonian,Moldovan,Montenegrin,Mordvin,North_Ossetian,Northern_Irish,Norwegian,Orcadian,Polish,Portuguese,Romanian,Russian,Saami_Finland_inferred,Saami_Norway_inferred,Saami_Sweden_inferred,Sardinian,Scottish,Serbian,Slovakian,Slovenian,Spanish,Swedish,Tabasaran,Turkish,Ukrainian,Veps,Welsh
LUN110,6.117142052463724e-224,0.0,,2.5076881671428765e-170,0.0,5.670173315518966e-137,8.371798265541243e-165,,0.0,0.0,3.2274410783755367e-164,3.925947824731807e-08,6.991790392146594e-85,1.642739514928613e-81,,3.171882957596657e-141,1.7880853152846494e-113,8.481772115971969e-38,0.0,3.0708138524280123e-49,0.20447435162660077,0.0,0.004466264814027238,3.760983539145819e-08,1.0692741386550854e-30,3.6750917016598603e-13,1.3048813570122919e-09,1.0468851741837897e-279,2.355077772313612e-159,0.004112353250324043,4.824535430608709e-105,2.8736783441651112e-27,7.380836236521415e-06,,8.20351643148606e-17,9.908795112958107e-30,,1.602399748081945e-155,0.0,3.85425031379554e-163,0.0,0.0,0.0,0.0,9.827960598418154e-56,2.1198235717378496e-231,0.0,1.2591432343847203e-145,3.032639888810453e-215,0.0,5.542299009674675e-13,0.012503926866668449,1.4628756069400472e-27,3.0736071424296228e-27,0.0,7.833087743416412e-87,1.7456994257501346e-98,2.403773384408938e-122,0.0,,7.641402011529104e-283,1.9658848656971786e-16,9.241518687720342e-207,1.5426370334741844e-80,3.2152236042059693e-111,1.6918146484297618e-65,0.04771451902746709,,1.244666943655221e-136,2.178195528598473e-113,0.0,1.0291378376369437e-06
LUN111,5.126996990467768e-178,0.0,0.0,1.4691784095894216e-138,0.0,7.124146162769225e-93,1.4774340235625283e-156,,0.0,0.0,3.5747093502440784e-168,2.4653334456052673e-06,5.826486644169863e-69,1.0760424322919516e-58,,2.9812333888686934e-126,5.547263081624528e-108,5.405559884988661e-30,0.0,4.682829787254464e-30,0.31246579800801727,0.0,0.03698589983460922,2.9179900651214054e-06,7.237936142972353e-31,8.66992092314749e-12,4.769887926025281e-06,0.0,2.0402648149821914e-135,0.590730396699926,5.8004072939159385e-77,1.8200669353044632e-14,4.671034394761828e-06,,9.21819779262129e-14,1.170467431916457e-19,,3.0917718502672583e-135,0.0,6.155598911856409e-146,0.0,0.0,0.0,0.0,8.883397495241202e-42,4.0162373367106257e-194,0.0,8.507936424131808e-107,7.364010086479535e-177,0.0,5.6336862460328545e-08,0.0018014145649413546,4.235139052801903e-23,4.417141881517724e-16,0.0,4.719399386340329e-62,5.51586948557888e-77,8.237460478213685e-117,0.0,,1.7906674252567368e-293,9.120892756855975e-10,3.3124957841688687e-99,3.705045929037119e-43,4.4317705822753444e-63,3.584923449142593e-53,0.03352700394310309,,9.028033523871745e-103,1.277932136474752e-71,0.0,1.816031708071856e-05
LUN113,1.6284417101467502e-174,0.0,,6.918376794688016e-127,0.0,7.313699277146816e-97,9.472061986605183e-149,,0.0,0.0,1.0785978567593078e-120,5.568574144012333e-06,8.333905379073489e-58,8.19469187791422e-59,,2.3432648863868655e-122,5.957243498879645e-111,3.62324644989308e-26,0.0,9.35117065352184e-31,0.12363766890247689,0.0,0.006844066428202866,1.0772803995144848e-06,2.0386836513775586e-27,1.89402754018296e-13,1.1434661234887454e-06,1.043875869281619e-210,2.671880827416964e-122,0.0427834615196427,2.5453261278564894e-73,8.03231022562069e-17,2.8771291478973733e-08,,3.745748575802912e-14,1.1422840172869182e-22,,7.971487970136373e-124,0.0,2.4795435010902934e-143,0.0,0.0,0.0,0.0,5.811756500383435e-39,1.3169152784685728e-157,0.0,3.716206019828194e-90,2.8854077155624492e-154,0.0,7.93933862668737e-10,0.004455958324154033,2.761512904611192e-31,2.1166419713944995e-17,0.0,4.4381929098678383e-60,1.5461018603315798e-74,9.392860236340153e-147,0.0,,6.684944068421024e-264,2.980805185824509e-11,7.616255257063172e-140,4.166341530284157e-58,1.5174499181569044e-90,5.82549917974691e-54,0.01331475157893808,,7.711662557144586e-98,1.1292676263252936e-75,0.0,6.5827194162313524e-06
LUN114,6.471751966983579e-101,4.798469115777949e-90,,2.818421205637282e-29,3.234392009950704e-157,2.0720244148560256e-130,2.227170422119779e-100,,,0.0,1.3551655970760513e-85,2.162607979095441e-35,2.653042417491152e-44,1.9526127659271506e-06,,3.388112575932645e-135,1.9203857312190398e-20,5.817425150836829e-11,1.9841026439736535e-134,1.4296630945785523e-34,8.787168561602318e-76,1.5410308327537886e-163,7.474954180560018e-32,3.058441846180901e-70,2.3116321135949111e-88,4.506829766944641e-142,2.9238688922429133e-10,3.365772783188781e-18,7.588606566534567e-47,7.062535516567712e-11,3.629033136716851e-05,1.5885493172425888e-22,9.998952965728933e-143,0.0,3.662697474154136e-80,0.029238885315637907,,1.2702058051430646e-285,1.2196125786049137e-29,3.849903163688948e-76,1.0142811280915745e-204,0.0,1.1408667660202346e-142,3.548092414533713e-166,1.3484455998237625e-49,0.00034557978242160824,0.0,6.172355912324442e-189,5.286585344087153e-154,2.843108232151337e-293,9.390112662753527e-95,4.024722420112203e-81,2.607604522291155e-144,7.897988243858284e-41,0.0,0.0021002529831018885,8.39349436564373e-85,0.0,0.0,,2.534378354169057e-118,2.9369444148424262e-142,1.440619380041815e-07,2.0704839738084602e-50,1.207775009346051e-19,1.2585513885175263e-16,1.0715306668819129e-99,,2.393163691183562e-15,8.710745022894705e-35,0.0,1.722715953696369e-65
LUN115,4.228640484699387e-234,0.0,,3.3958570150781044e-150,0.0,2.0801664507130713e-108,6.875688251087879e-125,,0.0,,2.560558454687733e-171,0.022517004500403774,1.284076898091696e-102,7.256901418880714e-64,,8.394876978173428e-134,5.843919523228584e-69,7.29979292503976e-35,0.0,6.241042910598016e-35,0.03495295515532758,0.0,0.5763566047622095,0.11023734829639036,2.079102601558112e-41,1.2702177216192766e-23,0.002792922839568009,2.698985336452578e-274,1.3180662222798856e-156,0.2091094115250911,1.0383875506552732e-88,1.6687891025712612e-17,1.2226422060035206e-05,,2.1170693359563356e-06,7.422201340075206e-17,,8.347500404715583e-176,0.0,1.867351271706678e-146,0.0,0.0,0.0,0.0,1.662152455243283e-44,8.54240899416553e-237,0.0,5.981954511344017e-194,6.505879885085919e-159,0.0,0.001555053454913963,0.025122415828921302,1.2596094328390054e-09,4.3814694558378054e-20,0.0,5.358868285297056e-74,2.469383282520168e-96,9.420574198676677e-210,0.0,,2.9106178963700453e-261,0.000679591960449195,6.300094835317121e-130,6.479639148199915e-81,1.7491109221742195e-68,3.705806098077588e-41,2.143991166596142e-05,,6.845162789856056e-134,1.2288140338486694e-79,0.0,0.037135532724899854
LUN116,3.9005512423511183e-205,5.1114811089493826e-307,,5.116258741128014e-133,0.0,2.2143307651981065e-95,2.1792056280941844e-143,,0.0,0.0,1.5471358689197384e-101,2.0691905429699672e-08,1.7777787133636128e-68,3.6654176643043425e-65,,5.150296973262879e-128,1.507094348713501e-126,4.180272706714518e-29,0.0,7.683268763801269e-32,0.42683768067548855,0.0,4.144171133600668e-05,1.0997627708131016e-07,3.3434312754566987e-28,1.1466526431492748e-09,2.211036950232601e-08,5.105703273202976e-295,1.680206739897689e-120,0.0032101448318784206,2.8979522249538423e-81,7.682362669633883e-16,0.00026588242975205556,,5.311941730503659e-15,4.671550003849663e-23,,3.4263397121866893e-156,0.0,1.0493263974161842e-145,0.0,0.0,0.0,0.0,1.3846308368479282e-42,3.2550905902264346e-231,0.0,2.357418530323646e-133,1.1951004969712608e-175,0.0,3.565269062519344e-10,0.655222263447765,3.049666728249626e-25,6.158383377050463e-21,0.0,4.666482248963482e-78,3.791412591218022e-81,1.8215215067622544e-149,0.0,,0.0,1.4038411545281146e-14,4.365664650751816e-175,5.099573394675597e-80,1.3977944110792726e-58,1.7449360649723971e-56,0.6973172964800451,,3.5146087843917205e-117,1.9783195889987556e-94,0.0,1.4119310068063315e-06
LUN117,3.1978066274416457e-200,0.0,,1.0174542019551467e-169,0.0,1.020565621233917e-187,3.4111706118375284e-272,,0.0,0.0,1.9674973016097324e-149,2.960828868847536e-45,1.0029453650629588e-90,4.536789385371376e-135,,3.7563766990953516e-180,1.1090937809242937e-251,5.993165924693833e-60,0.0,5.2213260116340645e-79,1.9148595438034075e-18,0.0,1.2292546638178994e-32,9.263299451461574e-48,1.3105820076688148e-32,5.1121504532443846e-11,3.831725954865901e-38,0.0,6.012079522198558e-142,1.028252202501252e-23,5.941341057421715e-131,5.849519225868726e-45,2.3084508685916455e-31,,2.4141613867652117e-59,2.1298882726153496e-71,,2.6507734953939462e-138,0.0,2.3024878432653555e-170,0.0,0.0,0.0,0.0,1.1323578839298052e-85,0.0,0.0,8.231642255459934e-169,1.4401998652685302e-299,0.0,5.2867608530342915e-52,0.00025805106991151015,9.785196248846936e-118,1.1045548514542706e-55,0.0,6.302623150110615e-174,9.085713054967448e-94,1.653194088256303e-86,0.0,,0.0,3.413881595678314e-85,0.0,4.118698377800783e-141,2.9853819298719816e-188,1.33999709296172e-137,2.1823074475672602e-05,,1.972343895146675e-154,6.534422602610118e-180,0.0,2.6608791603537844e-37
LUN118,4.490366948208659e-143,2.6603909973289696e-251,0.0,4.648144080493458e-103,0.0,1.31143629041134e-72,5.250295343742768e-172,,0.0,0.0,9.007883648088026e-75,3.3785120109122354e-16,7.567766456483518e-53,3.3275567078472406e-56,,2.0117755467168653e-110,1.1622421902876995e-155,9.909209000937651e-25,0.0,1.619162414829958e-23,0.003658511402636929,0.0,1.5049849479519334e-11,9.277372923257825e-17,2.115932563418288e-21,6.82538578115589e-06,1.7992354376646693e-13,7.700132025678062e-282,2.279389707952733e-87,0.0022114176497292793,1.1457700530887569e-67,9.941550022068392e-11,1.4028965636503495e-08,,6.92041561777724e-24,1.2559221396940432e-27,,2.625583770855259e-113,0.0,1.5557217866076205e-128,0.0,0.0,0.0,0.0,2.06568246669522e-33,1.7114416068133752e-200,0.0,1.1516664895082646e-79,1.729215174384477e-151,0.0,5.4184149183111955e-19,0.0005024931467865211,3.13082004616419e-39,1.5462234894059817e-16,0.0,1.653696897810813e-70,1.520799082144687e-58,1.5993618851199378e-109,0.0,,0.0,2.4360572244138195e-25,5.638769299184295e-119,8.516436464187543e-36,1.6501103927069465e-53,1.6938815334383883e-70,0.14376211361472221,,1.183526797845113e-86,7.30741995306851e-76,0.0,5.731570058044309e-14
LUN119,1.7865074020312062e-231,0.0,,1.335422914509429e-177,0.0,1.747237673356569e-132,5.6988146697227186e-158,,0.0,0.0,5.45549151444544e-171,2.315800176496942e-06,1.1290905994918726e-106,1.440890766068418e-77,,2.322435177186713e-155,2.237202432735159e-93,1.957552518339821e-42,0.0,3.2886890471935978e-49,0.5037138382346712,0.0,0.08825867521206773,4.971934505189682e-06,5.7849009181257146e-36,2.585040971273633e-14,1.4289665423747318e-08,6.606644532177919e-244,3.8246621144670273e-159,0.030339326156292708,6.408395544230435e-108,2.602362343871904e-21,1.8294844851433473e-05,,2.2554054126864792e-14,2.78245129319379e-29,,7.28357747723298e-173,0.0,6.703462871112227e-155,0.0,0.0,0.0,0.0,5.336640490952533e-56,3.930698866199671e-259,0.0,2.755044999284696e-158,1.0562189421057884e-222,0.0,6.406644782097137e-10,0.05193409903845559,1.3091566880852077e-23,2.0099003621058923e-26,0.0,1.8370271989703973e-86,5.789692439401139e-105,1.2693115197554927e-151,0.0,,4.217116302491113e-286,4.916182890061343e-13,2.9206295365142637e-176,2.2164207762545704e-68,4.696728093542799e-109,8.169706952381913e-63,0.07310091114569847,,2.4373734865446048e-144,1.2831268511611637e-113,0.0,4.800755156128128e-06
LUN120,6.4567400175502244e-226,0.0,,2.497776963194738e-152,0.0,6.108288259689087e-121,3.699176220187413e-149,,0.0,0.0,3.0740380607141542e-140,4.064950508272744e-06,3.6079871628445707e-76,1.4085781093624385e-75,,3.6082692784538426e-137,8.647900203599379e-119,1.2214599072526927e-33,0.0,6.593267626030276e-41,0.5813012177283654,0.0,0.010262004841728215,3.923676120284167e-06,2.9837909954086447e-31,4.5104651112411873e-13,6.606302795034613e-07,9.984379281972434e-287,3.810816484482114e-150,0.01397468662438943,1.6338118626014496e-90,2.3744717653504144e-17,0.00012980860457243422,,1.1618229385558895e-13,4.058469737828207e-24,,8.249160448776415e-152,0.0,7.925094937864456e-164,0.0,0.0,0.0,0.0,8.081318715583993e-49,3.8774180752868683e-237,0.0,4.8488945414433904e-141,4.381639604959291e-182,0.0,1.177534483582649e-09,0.23772073838841026,9.015176478757318e-26,8.332881714099828e-23,0.0,3.3282321486042294e-86,8.25426815382559e-92,2.85125832646666e-163,0.0,,8.418817456009484e-287,6.760858455295648e-13,2.93515040975424e-186,4.289470945712428e-93,8.766551226949855e-94,1.066742506615496e-55,0.1690559693451644,,1.0664881207634787e-135,8.417892439383378e-97,0.0,5.5043182359564814e-05
